video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
MP_T_PushUp_2,blazepose,multi,bright,134,133,0,1,0.992537,1072,221,159,0.074566,0.062480,0.074566,0.148321,34.250726,29.996300,43.017900,30.398895,29.196461,
MP_T_Yoga_1,blazepose,multi,bright,171,171,0,0,1.000000,2223,79,1706,0.615140,0.754812,0.615140,0.767431,40.577470,40.256800,42.706500,24.686915,24.644218,
MP_T_Yoga_2,blazepose,multi,bright,213,210,0,3,0.985915,2769,262,1759,0.547236,0.742995,0.547236,0.635247,28.229913,27.794700,29.777000,35.592621,35.423418,
SP_R_DudukBerdiri_1,blazepose,single,dim,121,121,0,0,1.000000,1452,251,1122,0.473454,0.499239,0.473454,0.772727,27.702500,27.569000,29.369800,36.125120,36.097825,
P_R_DudukBerdiri_2,blazepose,single,dim,128,113,0,15,0.882812,1536,332,1091,0.526039,0.584653,0.526039,0.710286,29.793840,27.452550,43.028000,34.629368,33.563985,
SP_R_Jongkok_1,blazepose,single,dim,109,109,0,0,1.000000,1308,9,1299,0.852832,0.860132,0.852832,0.993119,28.522706,27.919900,32.642500,35.280010,35.059788,
SP_R_Jongkok_2,blazepose,single,dim,169,169,0,0,1.000000,2028,274,1702,0.586684,0.591134,0.586684,0.839250,27.320907,27.229500,28.399700,36.614918,36.602007,
SP_R_PushUp_1,blazepose,single,dim,85,74,0,11,0.870588,647,127,479,0.432657,0.402457,0.470988,0.740340,28.674441,28.038900,39.659700,35.408090,34.874263,
SP_R_PushUp_2,blazepose,single,dim,130,96,0,34,0.738462,1214,518,559,0.342881,0.454187,0.356353,0.460461,27.178972,27.465600,40.580300,39.140700,36.793151,
SP_R_Yoga_1,blazepose,single,dim,115,115,0,0,1.000000,1487,59,1397,0.781808,0.835942,0.782476,0.939475,33.932437,28.346200,43.507800,30.882875,29.470326,
SP_R_Yoga_2,blazepose,single,dim,175,148,0,27,0.845714,2275,398,1852,0.697760,0.839652,0.697760,0.814066,25.323142,27.156300,28.301900,42.261937,39.489571,
SP_T_DudukBerdiri_1,blazepose,single,bright,122,122,0,0,1.000000,1464,0,1464,0.824344,0.841592,0.824344,1.000000,28.002948,27.581950,30.821200,35.805423,35.710526,
SP_T_DudukBerdiri_2,blazepose,single,bright,134,134,0,0,1.000000,1608,0,1596,0.761753,0.759317,0.761753,0.992537,27.400669,27.229350,28.911600,36.519311,36.495460,
SP_T_Jongkok_1,blazepose,single,bright,124,124,0,0,1.000000,1488,0,1488,0.901847,0.907155,0.901847,1.000000,27.557881,27.363650,29.159100,36.317094,36.287260,
SP_T_Jongkok_2,blazepose,single,bright,145,145,0,0,1.000000,1740,48,1659,0.791071,0.862048,0.791071,0.953448,27.767399,27.597300,29.767900,36.049719,36.013456,
SP_T_PushUp_1,blazepose,single,bright,124,124,0,0,1.000000,998,15,979,0.850056,0.865601,0.851910,0.980962,27.391417,27.187500,28.257800,36.560221,36.507786,
SP_T_PushUp_2,blazepose,single,bright,128,128,0,0,1.000000,1190,186,937,0.580698,0.648880,0.599491,0.787395,27.639484,27.357400,29.467100,36.209094,36.180126,
SP_T_Yoga_1,blazepose,single,bright,121,120,1,0,0.991736,1560,1,1557,0.893795,0.892470,0.893795,0.998077,27.841379,27.453700,29.295800,36.032278,35.917761,
SP_T_Yoga_2,blazepose,single,bright,226,226,0,0,1.000000,2938,0,2938,0.917612,0.914819,0.917612,1.000000,27.300085,27.160950,28.115400,36.676697,36.629923,
MP_R_DudukBerdiri_1,movenet,multi,dim,121,121,0,0,1.000000,1283,243,458,0.130285,0.104461,0.127457,0.356976,50.344785,50.342500,52.102200,19.877983,19.863030,
MP_R_DudukBerdiri_2,movenet,multi,dim,150,150,0,0,1.000000,1538,922,45,0.009288,0.000090,0.009654,0.029259,50.445561,50.317800,52.851800,19.835762,19.823350,
MP_R_Jongkok_1,movenet,multi,dim,126,126,0,0,1.000000,1512,189,961,0.279305,0.285627,0.279305,0.635582,55.212348,54.298400,61.575700,18.190682,18.111890,
MP_R_Jongkok_2,movenet,multi,dim,139,139,0,0,1.000000,1668,469,766,0.251198,0.190767,0.251198,0.459233,52.845868,52.446100,55.877400,18.941476,18.922955,
MP_R_PushUp_1,movenet,multi,dim,77,77,0,0,1.000000,557,174,274,0.167511,0.157301,0.171091,0.491921,52.700760,52.621400,55.203700,18.988409,18.975059,
MP_R_PushUp_2,movenet,multi,dim,91,91,0,0,1.000000,728,136,0,0.000869,0.000248,0.000869,0.000000,52.940918,52.358600,56.690300,18.937555,18.888981,
MP_R_Yoga_1,movenet,multi,dim,182,182,0,0,1.000000,2361,1251,384,0.079306,0.071353,0.079147,0.162643,50.754126,50.414450,54.115000,19.728995,19.702832,
MP_R_Yoga_2,movenet,multi,dim,173,173,0,0,1.000000,2249,582,712,0.130922,0.103880,0.130922,0.316585,51.871597,50.961400,58.928400,19.356793,19.278373,
MP_T_DudukBerdiri_1,movenet,multi,bright,148,148,0,0,1.000000,1771,373,1057,0.319875,0.337255,0.319929,0.596838,52.665371,52.246150,55.633400,19.004937,18.987809,
MP_T_DudukBerdiri_2,movenet,multi,bright,145,145,0,0,1.000000,1697,769,188,0.040048,0.013461,0.039017,0.110784,52.869843,52.183000,57.125300,18.943542,18.914374,
MP_T_Jongkok_1,movenet,multi,bright,144,144,0,0,1.000000,1728,53,1546,0.509868,0.526945,0.509868,0.894676,52.585382,52.421500,55.408100,19.033637,19.016692,
MP_T_Jongkok_2,movenet,multi,bright,208,145,63,0,0.697115,1740,159,734,0.181011,0.145048,0.181011,0.421839,52.894806,52.570600,55.925200,18.920071,18.905448,
MP_T_PushUp_1,movenet,multi,bright,76,76,0,0,1.000000,532,88,285,0.258010,0.234644,0.274040,0.535714,54.061007,53.284800,59.762200,18.544397,18.497621,
MP_T_PushUp_2,movenet,multi,bright,134,134,0,0,1.000000,1072,360,99,0.050397,0.041047,0.050397,0.092351,50.962046,50.453700,54.502800,19.655167,19.622446,
MP_T_Yoga_1,movenet,multi,bright,171,171,0,0,1.000000,2223,84,1545,0.383444,0.366140,0.383444,0.695007,50.251823,50.242900,52.510600,19.917110,19.899776,
MP_T_Yoga_2,movenet,multi,bright,213,213,0,0,1.000000,2769,526,1147,0.241233,0.204643,0.241233,0.414229,50.215437,50.110600,52.490500,19.925843,19.914195,
SP_R_DudukBerdiri_1,movenet,single,dim,121,121,0,0,1.000000,1452,40,710,0.187041,0.202968,0.187041,0.488981,49.956471,49.933000,51.562300,20.025837,20.017427,
SP_R_DudukBerdiri_2,movenet,single,dim,128,128,0,0,1.000000,1536,1141,340,0.102501,0.059553,0.102501,0.221354,49.975867,49.912100,51.798900,20.018228,20.009658,
SP_R_Jongkok_1,movenet,single,dim,109,109,0,0,1.000000,1308,52,1047,0.365601,0.370564,0.365601,0.800459,50.113021,50.048600,51.879600,19.964338,19.954894,
SP_R_Jongkok_2,movenet,single,dim,169,169,0,0,1.000000,2028,629,707,0.131251,0.118879,0.131251,0.348619,50.415143,50.055000,53.507600,19.863563,19.835310,
SP_R_PushUp_1,movenet,single,dim,85,85,0,0,1.000000,647,161,271,0.151338,0.154956,0.152926,0.418856,50.094496,49.904600,52.315700,19.975154,19.962273,
SP_R_PushUp_2,movenet,single,dim,130,130,0,0,1.000000,1214,473,318,0.108098,0.084681,0.114877,0.261944,50.165961,50.106900,51.649900,19.941307,19.933835,
SP_R_Yoga_1,movenet,single,dim,115,115,0,0,1.000000,1487,1298,165,0.056326,0.000000,0.054602,0.110962,50.172534,50.039000,52.729700,19.942784,19.931224,
